hours_slept,study_duration_minutes,phone_pickups_last_hour,social_media_opens_last_hour,break_duration_minutes,subject_difficulty,current_time_of_day,caffeine_intake,previous_day_productivity,mood_level,target
9.2,103,2,1,2,5,9,1,9.2,8.2,Deep Focus
5.7,50,1,2,9,8,15,4,6.7,6.9,Deep Focus
8.5,10,2,2,0,10,21,1,5.4,7.6,Deep Focus
4.5,47,2,1,7,9,7,1,5.4,2.3,Study Crash Incoming
6.5,13,9,4,2,9,17,2,6.7,3.6,Study Crash Incoming
7.2,125,0,0,10,4,21,1,7.4,2.3,Deep Focus
7.9,11,3,3,9,8,20,3,3.7,9.7,Deep Focus
8.1,32,1,3,7,2,21,0,5.7,6.9,Deep Focus
8.2,118,8,5,5,4,15,3,6.0,8.8,Study Crash Incoming
6.5,101,4,2,1,3,23,3,6.4,2.2,Study Crash Incoming
6.3,113,2,0,7,5,6,2,8.6,5.4,Distracted
8.3,69,5,3,0,9,6,0,3.1,2.9,Study Crash Incoming
6.7,23,15,12,4,9,11,2,7.9,6.4,Study Crash Incoming
5.1,101,1,2,4,9,20,3,6.7,4.3,Study Crash Incoming
5.3,128,4,3,0,10,6,2,5.0,3.5,Study Crash Incoming
5.6,129,10,3,2,1,8,0,7.6,3.7,Study Crash Incoming
7.7,107,6,4,14,10,12,1,5.2,8.2,Distracted
7.2,74,0,0,19,9,16,0,2.4,5.4,Distracted
8.0,146,6,4,4,8,16,2,1.0,8.6,Study Crash Incoming
6.4,105,4,4,34,1,18,4,3.6,5.3,Distracted
7.2,14,8,7,2,8,11,2,4.9,6.5,Study Crash Incoming
7.9,30,2,1,9,7,10,0,6.3,6.9,Deep Focus
6.5,35,2,1,1,1,21,1,7.2,5.4,Distracted
7.7,129,6,5,33,3,7,1,5.5,5.7,Distracted
6.0,59,1,1,6,8,10,1,3.2,8.4,Distracted
6.5,13,3,3,5,2,19,2,5.2,6.9,Deep Focus
6.4,16,8,7,7,4,20,3,5.6,1.1,Study Crash Incoming
5.2,32,0,1,22,7,22,4,9.5,3.6,Deep Focus
7.7,24,4,4,16,9,11,2,7.1,8.4,Deep Focus
6.3,20,15,12,3,3,9,1,2.7,3.9,Study Crash Incoming
7.0,28,3,1,2,1,10,3,5.4,5.6,Deep Focus
7.7,74,5,3,0,9,19,3,7.4,5.9,Study Crash Incoming
7.7,83,12,3,16,10,11,1,6.0,8.6,Study Crash Incoming
8.0,165,1,0,1,9,22,2,2.8,3.7,Study Crash Incoming
6.9,58,0,0,2,5,12,0,7.6,4.7,Distracted
6.4,33,0,0,3,8,12,2,6.7,6.5,Deep Focus
6.9,41,1,2,0,2,7,1,5.7,5.5,Deep Focus
4.5,12,17,8,3,7,19,0,4.4,5.0,Study Crash Incoming
4.8,33,1,0,11,7,7,3,8.0,4.4,Distracted
5.0,23,11,9,8,7,12,2,2.4,4.9,Study Crash Incoming
5.5,17,1,1,5,7,15,1,2.9,6.4,Deep Focus
7.6,38,5,5,8,9,19,0,4.5,6.0,Distracted
5.6,18,0,0,13,8,9,0,6.6,4.4,Deep Focus
6.4,14,3,5,0,1,9,2,3.3,5.0,Distracted
8.9,66,2,1,4,8,17,1,4.9,6.0,Distracted
6.5,96,0,1,4,8,12,0,5.3,4.8,Study Crash Incoming
8.1,44,7,3,8,6,21,0,6.7,6.4,Deep Focus
5.6,10,3,3,0,7,11,0,5.4,3.2,Study Crash Incoming
6.7,37,0,0,13,1,12,2,5.5,7.0,Deep Focus
5.6,13,4,3,2,3,9,2,4.6,4.3,Distracted
6.5,74,5,5,2,9,11,0,8.2,5.5,Study Crash Incoming
8.3,128,1,2,3,1,9,0,7.3,5.8,Deep Focus
4.4,59,0,0,4,10,21,0,7.2,4.5,Study Crash Incoming
7.7,25,4,2,16,3,20,2,4.4,7.8,Deep Focus
7.4,164,7,6,1,8,19,1,5.0,8.3,Study Crash Incoming
6.1,73,6,2,1,3,11,1,7.0,7.0,Distracted
4.8,14,2,4,19,1,19,0,4.8,4.4,Deep Focus
7.1,22,2,3,19,7,18,1,4.1,6.9,Deep Focus
6.2,86,3,4,13,8,23,0,6.6,1.1,Study Crash Incoming
7.3,23,0,0,0,1,10,2,3.4,6.7,Deep Focus
7.0,51,4,4,4,3,19,0,5.6,6.0,Distracted
9.4,37,4,3,2,4,10,1,7.8,4.5,Distracted
6.6,30,10,6,0,10,9,1,6.3,4.4,Study Crash Incoming
5.5,17,20,10,3,4,10,3,3.9,5.3,Study Crash Incoming
7.3,79,1,1,40,1,20,3,6.9,5.9,Deep Focus
7.3,66,1,0,6,10,21,2,4.8,6.6,Deep Focus
9.0,131,2,2,3,1,10,2,7.7,9.1,Deep Focus
8.3,26,0,0,1,5,22,0,7.0,5.2,Deep Focus
7.5,12,0,0,0,2,17,1,5.3,4.4,Deep Focus
9.2,146,2,2,1,3,23,0,4.5,6.9,Study Crash Incoming
5.2,64,7,3,0,8,21,1,4.3,6.0,Study Crash Incoming
6.0,10,6,7,8,2,18,0,10.0,7.0,Deep Focus
5.6,240,1,0,2,7,10,0,1.4,5.6,Study Crash Incoming
6.4,135,0,0,9,6,15,2,2.5,9.0,Distracted
4.9,35,0,0,23,8,17,2,8.2,4.4,Deep Focus
8.0,64,0,0,5,2,7,0,7.8,7.9,Deep Focus
6.7,28,4,1,2,4,17,2,6.7,4.0,Deep Focus
4.8,26,1,3,2,1,19,2,2.0,1.0,Distracted
5.5,42,8,3,10,9,7,1,7.1,2.5,Study Crash Incoming
7.5,30,3,2,0,10,8,2,4.0,4.6,Distracted
8.3,32,0,0,1,5,23,5,5.8,5.2,Distracted
10.0,14,0,0,6,6,7,3,6.8,5.1,Deep Focus
10.0,240,3,3,8,2,17,4,7.0,7.5,Study Crash Incoming
7.6,68,0,2,16,9,6,2,4.7,6.1,Deep Focus
5.5,16,1,3,15,8,10,1,8.6,5.4,Deep Focus
4.0,18,1,2,1,2,7,1,7.6,3.3,Deep Focus
7.4,88,2,0,3,6,6,0,4.1,6.8,Distracted
5.8,240,2,1,0,2,21,0,5.0,3.2,Study Crash Incoming
6.4,50,5,3,1,6,11,1,4.5,5.2,Distracted
6.1,23,1,0,4,7,8,0,5.9,3.9,Deep Focus
6.8,240,14,4,4,4,9,3,7.3,6.3,Study Crash Incoming
8.6,70,5,1,3,5,9,1,2.3,5.6,Distracted
7.2,27,1,1,4,8,12,3,2.0,6.8,Distracted
6.8,55,0,1,5,2,9,0,4.3,6.6,Deep Focus
5.4,52,1,1,4,1,20,4,8.7,3.7,Deep Focus
4.5,84,4,1,19,5,9,1,6.5,1.8,Study Crash Incoming
6.3,66,1,0,1,5,10,0,9.2,5.0,Distracted
6.9,173,0,0,4,3,18,1,5.7,4.4,Study Crash Incoming
9.7,108,6,7,5,5,18,1,4.3,6.0,Distracted
7.2,36,5,3,6,2,10,0,2.6,2.0,Distracted
8.5,162,11,6,0,8,10,0,4.3,4.0,Study Crash Incoming
6.3,29,0,0,22,8,10,1,4.8,6.5,Deep Focus
5.2,41,5,4,15,3,7,2,1.1,2.7,Study Crash Incoming
5.6,12,1,1,4,7,9,1,4.3,6.5,Deep Focus
5.9,89,8,6,2,3,22,5,4.3,3.2,Study Crash Incoming
10.0,62,9,3,7,4,15,1,6.0,8.5,Deep Focus
5.8,91,4,3,14,4,21,2,5.9,4.0,Study Crash Incoming
8.3,210,0,0,32,10,23,2,6.6,6.2,Study Crash Incoming
5.6,39,3,2,0,5,7,2,2.8,3.9,Study Crash Incoming
8.4,95,0,2,1,7,6,2,3.7,5.8,Distracted
7.6,74,0,4,15,3,18,0,7.9,7.8,Deep Focus
6.8,144,0,0,13,10,20,1,5.5,5.8,Study Crash Incoming
6.9,184,6,2,0,7,10,2,7.7,4.6,Study Crash Incoming
6.0,139,2,1,27,2,8,1,5.7,1.9,Distracted
7.7,49,11,10,33,4,22,0,6.4,5.0,Study Crash Incoming
6.3,23,4,3,19,6,20,1,7.1,5.5,Deep Focus
5.2,17,1,0,6,5,17,2,4.9,5.2,Distracted
5.1,29,6,3,6,9,12,0,4.7,3.8,Study Crash Incoming
7.3,41,0,0,0,6,11,1,4.6,6.2,Deep Focus
9.4,174,0,6,17,6,23,0,5.8,6.8,Study Crash Incoming
7.2,37,1,1,15,4,10,0,7.1,7.8,Deep Focus
6.8,11,8,5,3,9,13,1,5.2,5.8,Study Crash Incoming
7.4,35,22,15,21,8,18,3,8.3,9.5,Study Crash Incoming
9.0,38,0,0,1,8,16,0,9.5,9.3,Deep Focus
7.3,26,3,1,1,7,10,1,4.2,6.0,Deep Focus
6.4,57,1,3,12,7,12,4,8.4,6.2,Distracted
8.7,41,7,5,9,8,10,1,6.0,8.6,Distracted
7.6,14,5,2,3,3,22,0,6.8,3.6,Distracted
9.3,49,0,1,17,6,21,0,5.7,4.9,Deep Focus
7.3,98,1,0,13,2,23,6,8.4,2.8,Distracted
5.2,74,0,1,2,4,14,3,6.7,5.2,Deep Focus
4.9,14,0,0,14,3,13,2,5.3,3.9,Deep Focus
9.5,164,3,3,7,3,19,0,5.2,6.1,Distracted
9.6,59,3,1,4,6,10,1,3.6,6.9,Deep Focus
6.7,49,11,6,12,5,10,0,4.9,3.4,Study Crash Incoming
6.4,25,2,1,0,5,10,3,8.4,7.4,Deep Focus
9.2,117,0,4,1,9,22,1,8.2,7.7,Distracted
5.3,83,3,4,6,4,6,1,4.7,3.2,Study Crash Incoming
5.7,12,4,2,6,2,21,4,3.8,6.6,Distracted
8.0,16,1,1,6,8,20,5,7.9,6.3,Deep Focus
6.4,13,0,0,3,3,18,1,6.9,7.0,Deep Focus
7.0,57,4,3,5,10,10,3,2.0,3.6,Study Crash Incoming
6.8,240,0,0,17,7,7,2,10.0,4.4,Study Crash Incoming
7.5,164,10,7,2,3,8,2,6.0,6.4,Study Crash Incoming
9.1,62,4,2,3,6,10,1,9.4,6.4,Deep Focus
7.1,236,1,1,3,10,20,5,6.3,5.0,Study Crash Incoming
8.0,44,1,1,8,10,10,2,3.9,6.0,Distracted
4.0,30,1,1,3,4,11,0,6.4,4.9,Distracted
6.9,51,0,0,0,1,19,1,3.1,5.5,Deep Focus
5.7,26,6,2,1,1,21,0,5.7,6.7,Deep Focus
5.2,31,0,1,2,9,22,2,3.8,2.4,Study Crash Incoming
5.7,54,2,1,4,7,19,2,5.6,4.9,Distracted
6.5,69,0,0,35,8,6,0,6.5,5.6,Deep Focus
8.4,116,5,4,38,8,19,0,6.6,4.3,Distracted
5.0,44,1,1,21,8,14,1,3.1,5.0,Distracted
7.0,88,1,0,18,6,20,1,4.7,5.5,Deep Focus
6.3,12,2,1,5,4,11,1,2.0,7.8,Deep Focus
6.5,25,2,2,2,3,10,2,7.2,5.6,Deep Focus
8.5,21,11,7,12,4,16,1,6.4,8.0,Deep Focus
7.8,65,2,3,24,8,6,0,3.7,6.4,Deep Focus
9.0,17,0,0,7,1,21,3,8.8,1.9,Deep Focus
6.8,240,0,0,6,2,17,1,6.9,5.9,Study Crash Incoming
6.0,58,10,10,3,8,7,2,5.8,3.8,Study Crash Incoming
6.7,125,10,6,4,7,21,0,5.1,7.1,Study Crash Incoming
7.4,14,2,1,8,2,17,0,4.7,7.1,Deep Focus
7.3,68,3,2,1,1,10,2,4.4,7.1,Deep Focus
5.4,98,0,0,19,3,22,1,8.3,4.8,Distracted
7.1,64,0,1,1,2,12,0,6.5,6.3,Distracted
7.3,55,1,0,14,3,19,3,3.9,6.8,Deep Focus
10.0,87,6,3,1,9,21,2,8.6,6.5,Distracted
9.8,194,2,1,3,9,18,2,5.8,9.0,Study Crash Incoming
5.7,66,1,1,19,3,22,0,4.2,2.5,Distracted
6.6,123,1,0,25,3,7,2,10.0,6.4,Deep Focus
4.8,36,8,6,21,9,9,0,3.8,3.8,Study Crash Incoming
6.1,43,0,0,2,5,21,4,4.3,5.6,Deep Focus
7.5,66,0,0,5,3,13,0,6.0,4.2,Deep Focus
8.8,20,3,3,14,8,10,0,6.6,6.9,Deep Focus
5.9,20,1,0,34,5,10,0,4.5,4.9,Deep Focus
6.0,240,13,11,0,9,21,5,1.6,4.4,Study Crash Incoming
4.0,148,3,4,0,9,16,0,6.1,1.9,Study Crash Incoming
6.8,181,20,9,7,8,22,3,3.9,4.7,Study Crash Incoming
5.4,129,0,0,0,10,6,2,5.3,4.2,Study Crash Incoming
6.2,107,5,5,11,6,10,2,4.4,2.6,Study Crash Incoming
5.7,156,19,10,15,6,9,3,3.8,3.1,Study Crash Incoming
6.9,72,1,1,5,1,8,1,5.5,5.4,Deep Focus
4.4,34,5,2,4,2,17,4,4.7,5.2,Distracted
4.8,135,2,2,25,2,15,1,4.3,5.1,Distracted
10.0,75,0,1,14,10,9,0,7.9,7.0,Deep Focus
5.1,25,4,3,4,3,9,2,4.0,4.5,Distracted
5.4,216,1,4,11,7,21,2,5.5,3.4,Study Crash Incoming
9.8,94,0,0,17,5,8,0,5.9,6.3,Deep Focus
10.0,29,1,1,5,8,7,0,2.6,4.4,Distracted
5.2,54,1,2,8,4,18,1,3.8,3.9,Study Crash Incoming
6.4,71,0,1,16,10,11,0,5.9,5.5,Distracted
7.5,47,1,1,11,6,20,3,5.8,7.3,Deep Focus
9.6,117,5,5,2,3,12,2,4.4,7.2,Study Crash Incoming
5.5,65,7,6,3,5,17,1,5.9,8.2,Study Crash Incoming
6.6,39,6,3,11,4,9,1,6.5,8.1,Distracted
8.2,76,3,4,6,8,17,3,7.2,6.6,Distracted
7.7,141,14,12,14,4,18,2,7.3,5.4,Study Crash Incoming
6.4,15,1,0,10,1,22,2,8.4,7.9,Deep Focus
6.8,23,1,1,12,8,19,3,6.2,6.4,Deep Focus
4.9,85,4,4,8,10,10,2,3.2,5.3,Study Crash Incoming
6.6,109,2,1,17,3,6,1,5.4,3.5,Distracted
6.6,38,10,4,7,9,11,1,3.5,5.0,Study Crash Incoming
7.3,25,5,5,0,1,15,1,7.7,4.9,Distracted
6.2,240,5,3,3,4,21,1,8.7,6.8,Study Crash Incoming
7.7,35,8,6,20,1,16,1,6.0,7.2,Distracted
8.5,20,4,5,1,4,20,1,8.3,5.5,Deep Focus
7.2,74,2,3,14,7,18,1,8.2,5.0,Deep Focus
7.5,69,3,5,5,10,7,1,6.6,3.8,Study Crash Incoming
7.1,18,9,3,2,9,16,2,7.1,6.0,Study Crash Incoming
7.0,68,0,1,1,10,9,3,7.9,5.7,Deep Focus
5.9,12,2,1,16,7,12,1,3.2,2.1,Distracted
7.5,69,5,4,15,4,10,0,6.5,4.4,Distracted
6.9,30,3,2,6,10,20,1,7.1,4.1,Distracted
10.0,36,0,0,7,1,9,3,3.1,8.6,Deep Focus
9.4,33,8,7,9,9,13,0,9.8,6.7,Distracted
7.6,55,2,2,14,10,12,4,8.2,3.7,Distracted
5.9,99,4,4,5,1,7,2,8.2,2.8,Study Crash Incoming
5.3,62,0,0,9,7,7,4,6.8,6.7,Distracted
8.8,27,5,2,1,9,9,2,4.1,5.8,Distracted
7.4,19,6,4,6,7,21,5,3.5,3.6,Distracted
7.7,103,0,2,3,10,21,1,5.8,2.8,Distracted
4.4,42,1,2,2,3,8,0,7.4,4.0,Distracted
8.4,65,1,1,11,7,12,2,7.1,7.0,Deep Focus
7.7,38,22,14,2,9,10,1,9.4,6.7,Study Crash Incoming
5.3,26,1,1,5,1,22,0,5.4,8.0,Distracted
6.3,21,15,12,12,6,18,1,5.3,3.4,Study Crash Incoming
7.4,25,1,0,4,10,10,3,6.0,5.3,Distracted
7.1,13,2,1,2,5,18,2,3.7,6.1,Deep Focus
6.6,142,3,3,0,9,12,1,9.0,5.2,Study Crash Incoming
6.8,20,7,7,16,8,20,2,5.5,2.0,Study Crash Incoming
6.6,54,7,3,11,3,11,1,6.5,6.4,Distracted
7.2,34,3,3,7,4,14,2,7.6,5.7,Deep Focus
9.2,101,3,2,0,5,21,0,4.5,4.5,Study Crash Incoming
4.0,86,0,0,1,5,22,2,6.6,1.9,Study Crash Incoming
6.6,10,2,1,0,6,21,2,6.0,7.1,Deep Focus
7.3,28,3,4,0,7,19,2,8.0,7.5,Deep Focus
7.4,88,8,3,14,5,12,3,6.0,4.6,Study Crash Incoming
6.4,51,1,1,1,7,19,3,1.0,2.5,Distracted
4.4,226,2,1,0,7,11,2,4.1,5.9,Study Crash Incoming
7.5,200,6,5,15,10,7,2,3.0,8.3,Study Crash Incoming
9.6,76,1,1,2,9,20,1,9.9,10.0,Deep Focus
4.7,19,5,2,20,6,18,0,8.8,2.4,Distracted
8.3,65,0,0,10,2,21,1,1.7,7.7,Deep Focus
6.5,76,3,3,2,4,18,2,4.0,5.4,Distracted
6.9,105,0,0,0,4,20,1,3.2,2.3,Study Crash Incoming
5.4,145,12,9,1,3,7,3,6.4,2.9,Study Crash Incoming
6.5,15,8,5,3,10,19,1,4.1,4.0,Study Crash Incoming
9.0,233,4,7,2,6,18,1,5.5,7.4,Study Crash Incoming
7.9,19,2,3,0,10,10,3,3.2,4.0,Distracted
9.6,19,12,5,2,2,21,3,6.9,7.7,Distracted
8.8,26,1,1,2,8,19,2,2.6,7.0,Deep Focus
7.7,107,2,4,2,6,8,1,10.0,7.1,Distracted
9.6,26,0,0,7,8,10,0,9.0,6.0,Deep Focus
7.7,92,2,3,22,4,10,3,10.0,6.6,Deep Focus
8.2,104,4,2,4,6,11,0,7.2,4.9,Distracted
6.6,28,4,3,0,4,11,1,9.1,6.7,Deep Focus
7.1,61,9,6,12,7,11,0,7.8,5.6,Study Crash Incoming
6.0,42,12,7,7,2,22,0,4.0,4.1,Study Crash Incoming
8.5,192,5,2,1,7,21,1,5.3,5.7,Study Crash Incoming
5.2,49,0,0,8,5,21,0,6.8,1.5,Distracted
8.2,10,3,2,9,8,8,3,8.3,7.6,Deep Focus
6.7,53,17,13,1,1,12,0,6.0,6.0,Study Crash Incoming
8.8,64,16,14,3,2,21,4,7.1,7.7,Study Crash Incoming
8.1,36,5,4,5,7,19,2,5.3,7.7,Deep Focus
9.7,171,2,1,3,4,6,1,5.2,4.9,Study Crash Incoming
8.1,118,1,1,0,3,19,1,3.1,5.6,Distracted
4.6,39,0,1,17,10,7,3,6.9,1.5,Study Crash Incoming
6.9,30,0,0,1,10,7,3,5.0,6.8,Distracted
5.2,29,4,1,0,1,11,2,3.4,5.4,Study Crash Incoming
6.2,23,5,6,6,6,7,2,4.8,4.9,Distracted
9.3,150,3,2,27,7,9,1,6.6,6.2,Distracted
8.0,36,13,7,10,8,18,1,7.3,4.7,Study Crash Incoming
6.0,16,9,3,4,3,19,2,5.6,6.9,Study Crash Incoming
5.5,87,8,5,4,9,21,0,8.1,7.3,Study Crash Incoming
7.0,15,6,5,7,7,18,1,9.0,7.6,Distracted
5.2,176,5,2,15,9,10,2,5.4,4.5,Study Crash Incoming
6.0,13,0,1,25,7,9,3,7.9,5.5,Deep Focus
7.5,40,1,1,1,9,21,1,4.7,6.9,Deep Focus
8.7,47,5,6,1,1,19,2,3.4,6.4,Distracted
7.9,64,4,2,4,3,10,1,4.1,9.0,Deep Focus
4.0,15,2,1,6,6,23,1,4.3,4.9,Distracted
7.5,99,0,1,11,4,21,3,5.1,9.4,Deep Focus
7.1,35,1,1,5,2,22,2,10.0,5.1,Deep Focus
7.6,82,8,6,8,8,21,1,5.0,1.7,Study Crash Incoming
9.4,40,2,2,16,10,16,1,5.2,7.4,Deep Focus
4.0,57,1,3,14,6,18,1,6.3,3.6,Distracted
6.1,140,9,5,12,7,20,1,3.4,5.0,Study Crash Incoming
7.9,10,7,7,0,7,7,0,6.3,8.1,Distracted
4.6,14,2,1,15,5,19,0,7.3,3.4,Distracted
9.2,126,0,1,4,7,20,1,9.0,5.1,Distracted
7.6,208,4,1,0,9,7,0,8.6,4.3,Study Crash Incoming
8.3,138,8,7,1,2,12,2,6.7,10.0,Study Crash Incoming
6.1,150,2,2,3,3,10,0,5.6,4.5,Study Crash Incoming
8.2,32,0,1,3,2,8,2,5.7,6.2,Deep Focus
8.6,225,7,4,7,8,11,3,6.8,9.4,Study Crash Incoming
7.3,63,4,4,41,7,18,1,5.9,6.8,Deep Focus
7.4,21,5,5,2,7,17,1,5.8,2.7,Study Crash Incoming
7.4,17,3,2,10,7,18,1,4.1,5.1,Deep Focus
5.7,27,4,3,11,6,19,3,7.3,3.8,Distracted
6.8,84,0,0,18,9,7,2,6.6,2.3,Distracted
6.8,181,9,3,3,2,22,1,4.5,4.0,Study Crash Incoming
7.6,37,2,1,8,7,21,1,9.0,1.2,Distracted
8.5,82,1,0,2,9,15,0,6.4,7.5,Deep Focus
5.4,45,1,0,3,3,10,2,3.2,4.9,Distracted
6.8,11,6,3,2,8,20,2,7.9,4.1,Study Crash Incoming
9.2,22,2,2,10,1,18,1,4.7,4.0,Deep Focus
5.9,18,4,3,18,2,10,3,5.2,7.2,Deep Focus
5.8,65,1,1,6,4,20,1,5.6,3.8,Study Crash Incoming
7.3,11,2,3,1,10,20,3,7.7,7.0,Distracted
8.3,39,1,1,12,4,6,1,5.9,5.2,Deep Focus
7.0,201,6,1,11,5,7,5,7.2,7.2,Study Crash Incoming
9.0,18,9,7,0,8,10,3,2.9,7.5,Study Crash Incoming
8.3,23,0,0,22,8,19,3,3.8,6.2,Deep Focus
8.3,27,3,2,4,7,21,0,6.1,4.4,Distracted
7.8,70,3,3,0,1,11,0,4.5,8.2,Deep Focus
10.0,77,2,1,11,9,11,2,5.6,7.0,Deep Focus
6.7,23,9,5,1,3,12,1,7.5,4.7,Distracted
4.0,38,7,5,22,6,8,3,4.4,3.5,Study Crash Incoming
9.4,36,2,1,1,8,19,0,4.5,6.6,Deep Focus
6.3,20,2,4,7,3,21,3,6.2,6.0,Deep Focus
7.2,21,0,3,12,7,16,3,1.7,3.3,Study Crash Incoming
9.0,147,0,0,0,6,18,3,8.0,10.0,Deep Focus
4.6,16,4,4,22,2,17,0,6.3,5.4,Deep Focus
5.1,38,1,1,14,3,10,0,6.2,4.7,Deep Focus
4.6,16,1,2,0,8,14,4,4.9,6.0,Distracted
5.8,53,8,5,23,1,9,0,7.4,2.5,Distracted
7.7,79,1,0,2,4,7,3,5.7,5.5,Distracted
7.8,45,10,7,14,5,12,1,8.5,7.4,Distracted
7.4,29,3,1,21,4,10,2,2.6,5.4,Deep Focus
4.9,74,4,3,7,5,20,2,6.1,4.9,Distracted
4.0,27,2,3,0,10,9,1,6.1,5.1,Study Crash Incoming
7.1,117,8,5,17,1,10,1,6.6,4.6,Study Crash Incoming
6.3,28,0,0,32,10,21,0,8.8,6.5,Deep Focus
7.7,25,7,4,4,8,11,2,3.3,6.1,Distracted
8.1,170,3,2,3,10,9,1,3.2,8.8,Study Crash Incoming
7.2,178,4,1,1,7,10,2,5.3,7.7,Study Crash Incoming
8.1,28,14,12,12,10,20,1,2.2,6.4,Study Crash Incoming
7.3,166,4,2,7,1,6,0,10.0,3.7,Study Crash Incoming
7.8,175,4,3,1,8,17,1,7.9,6.1,Study Crash Incoming
5.9,30,1,0,2,8,10,1,7.0,6.6,Distracted
6.7,134,0,0,2,10,19,2,7.6,4.4,Study Crash Incoming
7.3,240,1,1,0,1,6,1,8.5,5.6,Study Crash Incoming
8.2,11,10,6,6,6,20,2,4.8,6.6,Distracted
6.4,112,17,8,0,6,19,1,5.3,5.0,Study Crash Incoming
7.8,10,2,4,8,1,9,2,6.7,4.6,Deep Focus
6.6,147,1,2,3,7,10,0,5.0,7.8,Study Crash Incoming
6.8,20,2,3,2,5,20,2,4.1,5.8,Distracted
8.2,111,12,10,5,5,6,4,4.9,4.9,Study Crash Incoming
4.0,24,0,0,0,7,17,3,6.8,3.2,Study Crash Incoming
5.1,34,0,1,1,8,10,0,7.8,6.0,Distracted
4.8,32,2,4,1,7,18,0,3.5,4.4,Distracted
4.0,35,7,6,16,4,18,2,5.6,5.6,Distracted
6.0,136,13,7,15,10,15,1,5.9,4.4,Study Crash Incoming
